model_name,model_id,canonical_label,layer_index,head_index,relative_depth,num_layers,num_attention_heads,num_kv_heads,head_dim,W_Q_norm,W_Q_frobenius_norm,W_Q_mean,W_Q_std,W_Q_sparsity,W_Q_spectral_norm,W_K_norm,W_K_frobenius_norm,W_K_mean,W_K_std,W_K_sparsity,W_K_spectral_norm,W_V_norm,W_V_frobenius_norm,W_V_mean,W_V_std,W_V_sparsity,W_V_spectral_norm,W_O_norm,W_O_frobenius_norm,W_O_mean,W_O_std,W_O_sparsity,W_O_spectral_norm,V_to_Q_norm_ratio,Q_to_K_norm_ratio,V_to_K_norm_ratio,O_to_V_norm_ratio,QK_frobenius_norm,QK_spectral_norm,QK_top_1_sv,QK_top_2_sv,QK_top_3_sv,QK_effective_rank,QK_condition_number,QK_anisotropy,QK_singular_value_entropy,OV_frobenius_norm,OV_spectral_norm,OV_top_1_sv,OV_top_2_sv,OV_top_3_sv,OV_effective_rank,OV_condition_number,OV_anisotropy,OV_singular_value_entropy
GPT-2,gpt2,local,0,0,0.0,12,12,12,64,54.007667541503906,54.007667541503906,0.0016624548006802797,0.24360103905200958,2.0345052689663135e-05,8.275489807128906,54.7044677734375,54.7044677734375,0.0001174002536572516,0.2467496693134308,4.069010537932627e-05,12.283828735351562,13.865945816040039,13.865945816040039,-7.773509423714131e-05,0.06254361569881439,0.0001220703125,5.1460652351379395,32.95562744140625,32.95562744140625,-0.0017157173715531826,0.14863958954811096,0.00016276042151730508,9.969433784484863,0.2567403194270265,0.9872624620932577,0.2534700798761356,2.3767313011670446,125.25714874267578,31.20240592956543,31.20240592956543,29.458740234375,28.73357582092285,37.74411511983955,342.0541076660156,0.06205379677906228,3.6308295726776123,17.601421356201172,7.459596633911133,7.459596633911133,6.235560894012451,5.455342769622803,16.471379484602164,2776.205322265625,0.17961068954116716,2.801624298095703
GPT-2,gpt2,local,0,1,0.0,12,12,12,64,61.78771209716797,61.78771209716797,0.000807280361186713,0.2786981463432312,0.0,9.592395782470703,61.39492416381836,61.39492416381836,-0.0001164862624136731,0.2769276201725006,6.103515625e-05,10.250746726989746,10.17395305633545,10.17395305633545,0.0005141212022863328,0.04588770121335983,0.00018310546875,1.8674191236495972,39.06032943725586,39.06032943725586,0.00047393058775924146,0.17618469893932343,0.00026448568678461015,18.378679275512695,0.16465981197716664,1.0063977265009874,0.16571326041990056,3.839248050456511,391.32666015625,76.59296417236328,76.59296417236328,72.78002166748047,71.82882690429688,52.150585986321374,202.537109375,0.03830856954880762,3.9541354179382324,14.775131225585938,7.530262470245361,7.530262470245361,6.823404312133789,4.151616096496582,12.39428251879004,5072.876953125,0.25974909327005447,2.517235279083252
GPT-2,gpt2,local,0,2,0.0,12,12,12,64,48.841312408447266,48.841312408447266,-0.0005759513005614281,0.22030261158943176,4.069010537932627e-05,7.752380847930908,53.08660888671875,53.08660888671875,-7.089558494044468e-05,0.23945218324661255,0.0,11.545267105102539,12.77126407623291,12.77126407623291,-0.0004816872242372483,0.05760398879647255,0.000244140625,3.5231573581695557,30.716861724853516,30.716861724853516,0.0002096022799378261,0.13855116069316864,0.00016276042151730508,12.015727996826172,0.2614848669401834,0.920030746598968,0.24057411735530873,2.405154379500814,100.39588165283203,30.736310958862305,30.736310958862305,24.81261444091797,24.252145767211914,35.42252805219427,106.54071044921875,0.09372784179842544,3.567348003387451,14.408239364624023,5.819138050079346,5.819138050079346,5.393828392028809,4.516608238220215,15.999046475995348,566.80419921875,0.16311469443977827,2.772529125213623
GPT-2,gpt2,local,0,3,0.0,12,12,12,64,73.57902526855469,73.57902526855469,-0.001829801476560533,0.331880122423172,0.0,13.157341957092285,70.98768615722656,70.98768615722656,0.00028873560950160027,0.32019656896591187,6.103515625e-05,22.353347778320312,9.473197937011719,9.473197937011719,-0.0002766764082480222,0.042728863656520844,0.00022379557776730508,1.7432202100753784,30.10806655883789,30.10806655883789,-0.00034759234404191375,0.13580484688282013,0.0003458659048192203,9.893732070922852,0.12874861963070044,1.0365040650231234,0.1334484676133369,3.1782368276068693,460.01416015625,225.80166625976562,225.80166625976562,223.29833984375,141.9368438720703,18.816499276908903,18.2120304107666,0.24094059835255277,2.9347341060638428,10.358441352844238,3.958059787750244,3.958059787750244,3.6438684463500977,3.4300501346588135,16.385108277707744,1200.0244140625,0.1460063239772819,2.796372890472412
GPT-2,gpt2,local,0,4,0.0,12,12,12,64,65.07584381103516,65.07584381103516,-0.0005778752965852618,0.2935301959514618,2.0345052689663135e-05,11.123451232910156,61.63157653808594,61.63157653808594,-0.00022888413514010608,0.2779949903488159,6.103515625e-05,16.918771743774414,10.537068367004395,10.537068367004395,0.00028576457407325506,0.04752758517861366,0.000244140625,2.000180244445801,38.03266143798828,38.03266143798828,0.0006145387305878103,0.17154882848262787,0.00022379557776730508,19.156957626342773,0.16191981156149668,1.0558847828728706,0.170968665073427,3.6094158368396094,306.17437744140625,150.46705627441406,150.46705627441406,143.28404235839844,77.08025360107422,20.694513208663714,71.46255493164062,0.2415143362060646,3.0298686027526855,14.57643985748291,8.517724990844727,8.517724990844727,5.441720962524414,3.855530023574829,11.442104934671821,4344.4208984375,0.34146005652457206,2.437299966812134
GPT-2,gpt2,local,0,5,0.0,12,12,12,64,61.54086685180664,61.54086685180664,0.002025058027356863,0.27757853269577026,4.069010537932627e-05,9.896651268005371,73.31689453125,73.31689453125,0.0006610804121010005,0.33070215582847595,4.069010537932627e-05,14.207422256469727,9.196734428405762,9.196734428405762,0.00016585784032940865,0.04148241505026817,0.00014241537428461015,1.6342111825942993,34.198883056640625,34.198883056640625,0.00019876784062944353,0.15425719320774078,0.0003458659048192203,17.348590850830078,0.1494410933573132,0.8393817993149181,0.12543813383385022,3.7185898236595145,527.20556640625,93.71723175048828,93.71723175048828,91.393310546875,88.41667175292969,55.81806639951204,347.8859558105469,0.031599196078485936,4.022097587585449,11.981534957885742,6.904852867126465,6.904852867126465,4.2822771072387695,3.5058023929595947,11.588098615510475,14349.83984375,0.3321087073209687,2.4499785900115967
GPT-2,gpt2,local,0,6,0.0,12,12,12,64,41.424686431884766,41.424686431884766,0.0013043333310633898,0.18684543669223785,2.0345052689663135e-05,7.858592510223389,43.81623458862305,43.81623458862305,-0.00031171704176813364,0.19763705134391785,6.103515625e-05,12.527949333190918,14.495203971862793,14.495203971862793,-0.0001844674116000533,0.0653817281126976,8.138021075865254e-05,3.9418647289276123,34.53180694580078,34.53180694580078,0.00021101301535964012,0.15575885772705078,0.000244140625,16.65430450439453,0.34991704754995506,0.9454186746262813,0.33081811132382,2.3822918954913357,103.22779083251953,41.26066589355469,41.26066589355469,34.801265716552734,30.333641052246094,27.25251309452026,544.04150390625,0.1597628157660985,3.305145740509033,17.868898391723633,9.352669715881348,9.352669715881348,7.938109397888184,5.774938583374023,11.694268101640805,24819.474609375,0.27395038808561323,2.4590988159179688
GPT-2,gpt2,local,0,7,0.0,12,12,12,64,64.13463592529297,64.13463592529297,0.00022239526151679456,0.289285272359848,6.103515625e-05,11.291504859924316,63.757102966308594,63.757102966308594,0.0001893794978968799,0.2875823974609375,4.069010537932627e-05,19.688657760620117,13.41357135772705,13.41357135772705,-0.00030460100970230997,0.06050241366028786,0.0001220703125,2.6379218101501465,33.47078323364258,33.47078323364258,0.0007103966781869531,0.15097147226333618,0.0002848307485692203,18.412260055541992,0.20914707262750962,1.0059214258712992,0.21038552151427262,2.4952924423227376,312.4169006347656,175.44691467285156,175.44691467285156,169.70516967773438,117.05365753173828,9.732814929980972,447.39678955078125,0.31536984859807954,2.275503158569336,16.299030303955078,8.95211410522461,8.95211410522461,5.2836761474609375,4.904343128204346,12.81215763107716,24242.005859375,0.301664216278972,2.5503945350646973
GPT-2,gpt2,local,0,8,0.0,12,12,12,64,47.81710433959961,47.81710433959961,-0.00042465858859941363,0.21568317711353302,4.069010537932627e-05,7.752152919769287,46.936580657958984,46.936580657958984,-0.0006075843120925128,0.21171101927757263,4.069010537932627e-05,12.025460243225098,12.452335357666016,12.452335357666016,0.0004023029177915305,0.05616600066423416,0.00014241537428461015,3.8285531997680664,30.218576431274414,30.218576431274414,-0.0006235487526282668,0.13630233705043793,0.0003458659048192203,12.465628623962402,0.2604159229154243,1.0187598599918344,0.265301289168962,2.4267396888350197,104.73403930664062,38.003578186035156,38.003578186035156,25.854331970214844,22.606639862060547,34.490386978164096,122.58907318115234,0.1316648003855113,3.5406806468963623,13.184744834899902,6.744662284851074,6.744662284851074,4.593590259552002,4.074283123016357,13.30502044867727,1577.9095458984375,0.2616818095552878,2.588141441345215
GPT-2,gpt2,local,0,9,0.0,12,12,12,64,31.57424545288086,31.57424545288086,0.0017071142792701721,0.14240840077400208,6.103515625e-05,5.309587478637695,31.61583709716797,31.61583709716797,0.00022022453777026385,0.14260606467723846,8.138021075865254e-05,9.427891731262207,16.26042366027832,16.26042366027832,-0.0005349125131033361,0.0733422264456749,0.00020345053053461015,4.286935329437256,23.4206600189209,23.4206600189209,-0.00042500460403971374,0.10564025491476059,0.00014241537428461015,9.581225395202637,0.5149900948414654,0.9986844680354612,0.5143126089102805,1.4403474662280715,102.7447280883789,35.04391860961914,35.04391860961914,17.78420639038086,17.355878829956055,47.68307810002218,117.26012420654297,0.1163330741027466,3.864576578140259,13.878425598144531,5.962612152099609,5.962612152099609,5.281201362609863,4.988193511962891,12.771744251185472,2431.564208984375,0.1845814243611308,2.5472352504730225
