model,layer,head,label,rel_depth,locality_score,match_entropy,delta_collapse,mean_distance,bos_mass,local_mass,long_range_mass,mean_max_attn,mean_entropy_ss,vq_ratio_atlas,mean_output_norm,wq_norm,wk_norm,wv_norm,wo_norm,vq_ratio_weight,ov_norm,ov_eff_rank,ov_sv1,ov_sv2,ov_sv3,qk_eff_rank,qk_sv1,qk_sv2,qk_sv3,head_dim,is_gqa,gqa_group_size,gqa_within_group_rank
GPT-2,18,0,local,0.75,,1.09686,-0.37238,98.227,0.6605,0.0126,0.7812,0.6627,1.7145,0.886,8.3382,29.59014892578125,29.14055824279785,26.216848373413086,25.526758193969727,0.88599920328789,83.62918090820312,62.77817153930664,16.506695,14.927461,14.867719,50.09425735473633,10.839651,10.220587,8.661177,64,0,1,0
GPT-2,18,1,local,0.75,,1.10454,-0.14141,104.8077,0.7504,0.0119,0.7812,0.7504,1.4394,0.9986,8.3382,28.22222328186035,27.8487491607666,28.182880401611328,27.71363067626953,0.9986059609883638,98.12555694580078,62.59732437133789,24.261608,17.959625,15.726393,51.808074951171875,8.287506,7.1330914,6.734624,64,0,1,0
GPT-2,18,2,retrieval,0.75,,1.18034,0.57755,48.1016,0.3208,0.0578,0.3419,0.3519,2.3953,0.9639,8.3382,26.46828269958496,25.743209838867188,25.512826919555664,24.386959075927734,0.9639018597891414,83.92140197753906,58.69260787963867,28.522404,25.354467,24.220629,47.643211364746094,10.613379,9.284833,8.879453,64,0,1,0
GPT-2,18,3,local,0.75,0.5061911443869274,1.65193,-0.63391,49.4987,0.3704,0.0845,0.4052,0.5105,1.3363,0.5885,8.3382,30.38057518005371,30.420738220214844,17.87993049621582,18.0019474029541,0.5885316650605831,38.92728042602539,62.05707931518555,11.656015,7.7689066,7.097895,49.00483322143555,18.343117,15.13713,12.518803,64,0,1,0
GPT-2,18,4,local,0.75,,0.53875,-0.17364,101.6602,0.7129,0.0031,0.8163,0.7129,1.6219,1.0992,8.3382,26.28917694091797,25.225921630859375,28.898128509521484,30.17171859741211,1.0992405191864982,112.52595520019531,61.2370719909668,28.383854,25.175446,24.152935,52.6790771484375,10.0643425,8.269087,7.5978813,64,0,1,0
GPT-2,18,5,local,0.75,,0.64267,-0.35267,86.1677,0.4579,0.0143,0.7329,0.5075,2.1491,0.9806,8.3382,28.28478240966797,27.794832229614258,27.736143112182617,26.801847457885742,0.9806030221643565,93.35103607177734,63.301204681396484,18.094234,14.713674,14.299082,52.39720916748047,7.861239,7.6572623,7.223603,64,0,1,0
GPT-2,18,6,local,0.75,,0.31893,-0.1348,68.5574,0.4752,0.0441,0.4869,0.4781,1.9972,1.3944,8.3382,24.11851692199707,23.860734939575195,33.63080978393555,34.26946258544922,1.3943979181100263,147.36456298828125,61.65512466430664,29.735947,28.781605,27.839882,45.91162109375,12.315054,10.111447,9.261221,64,0,1,0
GPT-2,18,7,local,0.75,,0.99475,-0.32507,99.7921,0.6799,0.0196,0.7639,0.6812,1.6333,0.9303,8.3382,28.015790939331055,27.5505313873291,26.064373016357422,25.44559669494629,0.9303457850895444,83.30462646484375,62.794700622558594,16.31366,15.461695,13.890788,51.276702880859375,9.735035,8.139358,7.806128,64,0,1,0
GPT-2,18,8,local,0.75,,1.03425,-0.59139,89.866,0.5689,0.0145,0.7513,0.5706,2.2527,0.9275,8.3382,29.451786041259766,29.27614974975586,27.315675735473633,26.84535026550293,0.9274709417352643,91.43195343017578,62.65227127075195,21.264645,16.457905,15.115615,53.49510192871094,11.696511,8.842376,8.397782,64,0,1,0
GPT-2,18,9,local,0.75,,1.10777,-0.2837,87.6666,0.5248,0.0097,0.7365,0.5336,2.1084,1.0514,8.3382,25.040546417236328,24.501134872436523,26.328466415405273,25.612903594970703,1.0514333823514879,84.23808288574219,62.70397186279297,18.26357,16.448086,14.246507,48.913150787353516,6.59465,5.8756905,5.5573373,64,0,1,0
GPT-2,18,10,local,0.75,,0.88406,-0.25698,104.2707,0.7848,0.0082,0.7949,0.7848,1.292,1.142,8.3382,26.342113494873047,25.959684371948242,30.082584381103516,30.87835121154785,1.1419958534062704,117.35693359375,62.85388946533203,27.138765,19.577778,19.108997,54.584407806396484,7.6478844,7.0571666,6.8067737,64,0,1,0
GPT-2,18,11,induction,0.75,,1.13134,-0.66176,102.9974,0.7691,0.0096,0.8026,0.7719,1.442,1.0677,8.3382,26.57322883605957,26.270822525024414,28.371021270751953,28.17136573791504,1.0676542713639576,99.5120849609375,62.454219818115234,29.270021,16.040886,15.702974,53.563011169433594,8.552875,7.3779917,6.133604,64,0,1,0
GPT-2,18,12,local,0.75,,0.88425,-0.28703,87.3499,0.4703,0.0152,0.7153,0.4818,2.2951,1.0631,8.3382,26.687646865844727,26.13343048095703,28.370933532714844,27.40039825439453,1.063073626360942,99.54920196533203,61.76832580566406,18.710054,18.387642,18.065327,53.1474723815918,8.533738,7.5207357,6.76088,64,0,1,0
GPT-2,18,13,local,0.75,,0.95376,-0.39504,89.1178,0.5625,0.0156,0.724,0.5653,2.1479,1.0709,8.3382,27.091245651245117,26.548542022705078,29.012619018554688,27.381284713745117,1.0709222968940963,99.34030151367188,62.957889556884766,20.173883,17.726078,16.51709,52.859310150146484,7.34484,6.60383,6.4176555,64,0,1,0
GPT-2,18,14,local,0.75,,0.74628,-0.19813,113.8717,0.8821,0.0049,0.839,0.8821,0.7597,1.0513,8.3382,27.877437591552734,27.42992401123047,29.30756950378418,28.239431381225586,1.0513006946041463,104.38350677490234,62.84693908691406,17.851332,17.729895,17.381145,50.35029220581055,10.894576,7.342275,7.113916,64,0,1,0
GPT-2,18,15,local,0.75,,2.18804,-0.28921,61.3738,0.3,0.0332,0.5792,0.3142,3.1037,0.7173,8.3382,27.547452926635742,26.02337074279785,19.760311126708984,21.899017333984375,0.7173189905917561,55.95724868774414,60.3569450378418,20.06933,12.189696,10.522027,45.52043914794922,20.147314,11.551952,10.246762,64,0,1,0
GPT-2,19,0,local,0.7916666666666666,,1.40868,0.08222,68.2232,0.3258,0.052,0.5852,0.3293,3.0493,0.9444,13.4925,27.16267967224121,26.37580108642578,25.652280807495117,25.838329315185547,0.9443943350592695,83.02574157714844,62.773292541503906,15.248399,14.733697,14.024533,48.6428337097168,9.805888,8.185081,7.8205976,64,0,1,0
GPT-2,19,1,local,0.7916666666666666,,1.34433,-0.46091,85.7692,0.5809,0.0322,0.6626,0.5833,2.155,1.5172,13.4925,23.85207748413086,23.359718322753906,36.18937683105469,37.30095672607422,1.517242129333619,170.5771484375,62.978878021240234,28.663023,27.7849,26.872492,50.53761291503906,7.903527,6.94644,5.479761,64,0,1,0
GPT-2,19,2,local,0.7916666666666666,,1.16242,-0.48137,71.787,0.2567,0.0355,0.6269,0.2637,3.3597,1.1352,13.4925,25.787885665893555,25.5671443939209,29.27431869506836,29.47216033935547,1.135196544390793,111.00568389892578,60.94736099243164,28.290583,26.308048,23.948425,54.1258544921875,8.627882,6.1850343,5.840151,64,0,1,0
GPT-2,19,3,local,0.7916666666666666,,0.4439,-0.17707,91.5651,0.5949,0.0116,0.7225,0.5949,2.0317,1.0128,13.4925,26.59991455078125,26.014095306396484,26.940988540649414,27.083866119384766,1.0128223716364206,92.40589904785156,61.695003509521484,28.157354,20.10931,16.92674,53.596954345703125,7.5816607,6.5795207,6.4115186,64,0,1,0
GPT-2,19,4,local,0.7916666666666666,,0.85126,-0.16904,95.9032,0.6162,0.0078,0.7838,0.6218,1.8181,1.0623,13.4925,25.95013999938965,25.433067321777344,27.565916061401367,28.72587013244629,1.0622646375722313,102.42388916015625,59.863426208496094,36.58503,24.521015,21.216778,49.08400344848633,9.14939,8.244768,6.7050557,64,0,1,0
GPT-2,19,5,local,0.7916666666666666,,0.95792,-0.16408,94.1156,0.6015,0.0202,0.7431,0.609,1.7985,1.0335,13.4925,26.916671752929688,26.4202938079834,27.819660186767578,27.371917724609375,1.0335475515741865,95.209228515625,62.9567756652832,19.858232,16.057611,15.207689,51.29905700683594,7.7993603,6.674325,6.45228,64,0,1,0
GPT-2,19,6,induction,0.7916666666666666,,1.36983,-0.46401,77.3935,0.5118,0.0218,0.6347,0.5162,2.0958,0.8686,13.4925,27.755229949951172,27.305051803588867,24.107995986938477,24.699756622314453,0.868592911332735,70.13821411132812,62.782718658447266,17.774973,10.862057,10.763535,51.340240478515625,13.819334,8.714452,7.6430655,64,0,1,0
GPT-2,19,7,local,0.7916666666666666,,0.91337,-0.15545,93.1969,0.5944,0.0105,0.7607,0.6005,2.0779,1.141,13.4925,25.059490203857422,24.631481170654297,28.59398651123047,28.003063201904297,1.141044222313343,99.33271789550781,62.89130783081055,21.598354,15.790392,15.68479,50.28097152709961,7.8624015,6.5315804,5.652991,64,0,1,0
GPT-2,19,8,local,0.7916666666666666,,0.80847,-0.47416,86.5127,0.5321,0.0134,0.7391,0.5363,2.3153,1.1217,13.4925,25.866586685180664,25.531314849853516,29.015186309814453,28.702983856201172,1.1217245886731761,101.70626068115234,62.549560546875,27.12626,18.173386,16.865902,53.956321716308594,8.214565,6.6104455,6.4430532,64,0,1,0
GPT-2,19,9,local,0.7916666666666666,,0.78248,-0.03947,62.2431,0.2255,0.0188,0.5476,0.2694,2.9523,1.0138,13.4925,27.524799346923828,26.96992301940918,27.90428352355957,27.95427703857422,1.013786991572643,102.29066467285156,59.685997009277344,27.69594,25.064993,24.257126,50.845130920410156,9.39415,7.8707576,7.428536,64,0,1,0
GPT-2,19,10,local,0.7916666666666666,,0.78184,0.02937,83.9708,0.4961,0.0216,0.6879,0.5108,2.2484,1.0477,13.4925,26.410470962524414,25.78702163696289,27.670093536376953,26.99842643737793,1.047694059512943,94.40306091308594,62.54481506347656,17.851469,17.190615,16.963846,50.73469543457031,6.8400292,6.2956285,6.2635145,64,0,1,0
GPT-2,19,11,local,0.7916666666666666,,0.76505,-0.30113,57.8611,0.2387,0.0163,0.5182,0.3317,2.3324,1.099,13.4925,26.508371353149414,26.076881408691406,29.132909774780273,28.992267608642578,1.0990079091116227,107.76725769042969,62.240577697753906,30.100477,20.480724,18.111027,50.6760368347168,7.2644744,7.0951943,6.803446,64,0,1,0
GPT-2,19,12,local,0.7916666666666666,,1.46374,-0.54699,82.6221,0.5395,0.0141,0.6982,0.5483,2.0653,1.1464,13.4925,25.91118621826172,25.514835357666016,29.704469680786133,29.42511749267578,1.1463955926436835,110.12528991699219,62.21019744873047,23.467997,20.065804,19.177896,52.773040771484375,6.789473,6.305364,6.0548167,64,0,1,0
GPT-2,19,13,local,0.7916666666666666,,1.0485,-0.38873,84.8858,0.4363,0.0182,0.7048,0.4389,2.5359,1.2472,13.4925,25.245555877685547,24.517894744873047,31.487258911132812,31.15599822998047,1.2472396751209205,130.55352783203125,59.045936584472656,27.143608,26.72357,26.554577,51.17525100708008,6.3291574,6.101322,5.924373,64,0,1,0
GPT-2,19,14,local,0.7916666666666666,,0.52665,-0.22564,106.5675,0.8051,0.0072,0.7976,0.8051,1.1161,1.1473,13.4925,26.75368881225586,26.219768524169922,30.695022583007812,30.552133560180664,1.147319264958531,118.73956298828125,61.67570114135742,25.416975,24.722383,23.374796,50.950923919677734,9.314552,8.301767,7.8395715,64,0,1,0
GPT-2,19,15,local,0.7916666666666666,,0.99126,-0.02321,85.4789,0.4822,0.0236,0.7029,0.5076,1.9915,1.0752,13.4925,26.400487899780273,25.647233963012695,28.386829376220703,27.498233795166016,1.0752388169483749,97.5439224243164,63.11115646362305,16.430817,15.806028,15.667883,51.527042388916016,6.908519,6.473701,6.1110325,64,0,1,0
GPT-2,20,0,local,0.8333333333333334,,0.8978,-0.09611,87.6301,0.5051,0.014,0.7364,0.5407,1.9942,1.2428,17.9771,24.934011459350586,24.316513061523438,30.98843765258789,29.897184371948242,1.2428179758843245,116.77009582519531,62.69375228881836,23.499191,22.406105,20.850407,51.1488037109375,6.4677386,6.0882297,5.622801,64,0,1,0
GPT-2,20,1,local,0.8333333333333334,,1.77989,-0.07703,62.1293,0.3053,0.0099,0.5745,0.3417,2.4004,0.7931,17.9771,26.690580368041992,26.112659454345703,21.16737937927246,24.498720169067383,0.7930655342592874,67.5439224243164,57.786659240722656,34.116753,19.08662,12.467348,48.70686340332031,15.481528,9.383694,8.220217,64,0,1,0
GPT-2,20,2,local,0.8333333333333334,,0.73839,-0.45466,57.2168,0.3866,0.0259,0.4925,0.4433,1.77,1.2342,17.9771,24.77227020263672,24.228294372558594,30.57352638244629,30.595346450805664,1.234183469353199,116.63685607910156,62.290611267089844,23.000093,21.184223,20.271889,49.97606658935547,12.012158,9.953751,8.567545,64,0,1,0
GPT-2,20,3,local,0.8333333333333334,,0.49395,0.15545,76.4364,0.3698,0.0412,0.6536,0.3699,3.2094,1.0753,17.9771,25.8991641998291,25.282550811767578,27.849191665649414,29.719175338745117,1.0752930654739856,103.23595428466797,62.41929244995117,30.064646,19.095402,16.793951,51.792808532714844,6.9152226,6.1083775,5.476315,64,0,1,0
GPT-2,20,4,local,0.8333333333333334,0.031040007588065535,0.67556,-0.19762,80.5385,0.3652,0.0206,0.6894,0.3739,2.9493,1.1838,17.9771,25.159873962402344,24.722963333129883,29.784013748168945,30.07954216003418,1.1837902603437322,112.88277435302734,62.13346862792969,34.041428,21.69099,18.594286,51.848052978515625,8.085789,5.789542,5.4715123,64,0,1,0
GPT-2,20,5,local,0.8333333333333334,,0.65614,-0.16528,58.0226,0.168,0.0128,0.5182,0.2915,2.6821,1.1341,17.9771,26.56660270690918,26.025564193725586,30.12957191467285,30.053640365600586,1.134114596701366,114.56190490722656,62.25233459472656,24.828728,23.22802,22.0805,50.443138122558594,6.843158,6.32202,5.857226,64,0,1,0
GPT-2,20,6,local,0.8333333333333334,0.016290915887414787,0.98874,-0.24596,87.5431,0.461,0.0232,0.7149,0.4774,2.2924,1.2814,17.9771,25.48992156982422,24.609086990356445,32.66195297241211,31.457305908203125,1.2813673389672995,131.09800720214844,62.336814880371094,23.879711,23.038248,22.607656,49.7742919921875,7.786414,7.0881605,6.6535625,64,0,1,0
GPT-2,20,7,local,0.8333333333333334,,0.82095,-0.30254,81.618,0.3173,0.0123,0.6897,0.417,2.1515,1.0803,17.9771,25.782665252685547,25.2099552154541,27.85360336303711,28.15733528137207,1.0803228871047292,97.63594055175781,62.340084075927734,31.848032,14.504156,14.403639,51.21429443359375,7.5323424,6.631567,6.505379,64,0,1,0
GPT-2,20,8,local,0.8333333333333334,,0.80287,-0.3726,95.5619,0.6411,0.0105,0.7653,0.6419,1.79,1.154,17.9771,26.308931350708008,25.777341842651367,30.360916137695312,29.63130760192871,1.1540155596961224,110.45807647705078,62.95173263549805,23.13722,17.72733,17.300526,52.55601119995117,7.4497576,6.477948,6.172751,64,0,1,0
GPT-2,20,9,local,0.8333333333333334,,0.41305,-0.11902,72.1085,0.2995,0.0402,0.6386,0.3283,2.9779,1.1765,17.9771,26.620737075805664,26.139663696289062,31.319913864135742,31.395647048950195,1.1765231659419289,125.77752685546875,61.34474182128906,36.373142,29.824215,25.50132,51.49925994873047,7.4481077,6.432877,6.190754,64,0,1,0
GPT-2,20,10,local,0.8333333333333334,,1.07687,-0.18785,92.6717,0.5603,0.0151,0.751,0.587,1.8178,1.1205,17.9771,25.805320739746094,25.192508697509766,28.91546058654785,28.156850814819336,1.120523200551052,102.40836334228516,62.97758102416992,19.600475,17.008173,16.389837,51.77253723144531,6.5063014,6.172271,5.94668,64,0,1,0
GPT-2,20,11,local,0.8333333333333334,0.04475907618567969,0.95935,0.06825,83.425,0.4346,0.0276,0.6744,0.4392,2.606,1.0302,17.9771,26.717060089111328,26.11534309387207,27.523555755615234,27.561622619628906,1.030186542374532,94.42454528808594,62.2999382019043,19.396528,18.076149,16.880741,50.58447265625,7.721119,6.7576084,6.609822,64,0,1,0
GPT-2,20,12,local,0.8333333333333334,,0.98025,-0.10103,78.5143,0.2905,0.0212,0.6842,0.4326,2.3055,1.0938,17.9771,26.714351654052734,26.018024444580078,29.219266891479492,28.805191040039062,1.0937666490979823,105.06123352050781,63.196372985839844,20.52788,16.515825,16.24329,50.525962829589844,6.5283895,6.215256,5.783688,64,0,1,0
GPT-2,20,13,local,0.8333333333333334,,0.85865,-0.4002,87.7755,0.442,0.0113,0.7328,0.4879,2.2089,1.1409,17.9771,25.966169357299805,25.519105911254883,29.624631881713867,28.40488052368164,1.140893424596895,105.34213256835938,63.05751419067383,18.919182,17.816858,17.168896,51.182647705078125,6.84136,6.0505342,5.640247,64,0,1,0
GPT-2,20,14,induction,0.8333333333333334,,1.30752,-0.59827,88.5269,0.5246,0.0244,0.7177,0.5301,2.5891,1.2743,17.9771,25.66033172607422,25.285388946533203,32.70003890991211,33.25453186035156,1.274342017826814,137.291015625,62.8878059387207,28.324303,23.949339,22.553265,54.51715087890625,6.544631,6.1180778,5.9359126,64,0,1,0
GPT-2,20,15,local,0.8333333333333334,,1.07633,-0.45656,73.8283,0.2875,0.01,0.6481,0.3263,2.6546,1.065,17.9771,27.000608444213867,26.590456008911133,28.756559371948242,28.18147850036621,1.065033754011925,104.84175872802734,60.743629455566406,27.604223,24.427172,22.465652,50.57537078857422,7.924189,6.8941298,6.7467227,64,0,1,0
GPT-2,21,0,local,0.875,,1.37708,-0.54159,81.9347,0.4676,0.028,0.6785,0.4803,2.4277,1.1593,29.9666,26.5049991607666,25.917966842651367,30.7285213470459,31.52677345275879,1.1593481350691726,117.61225891113281,62.15000534057617,34.54196,20.80051,20.609632,51.509071350097656,8.219578,7.9867887,7.2480083,64,0,1,0
GPT-2,21,1,local,0.875,,1.93359,-0.30667,38.5791,0.1032,0.0218,0.4087,0.3653,2.0603,0.9308,29.9666,26.35372543334961,25.373441696166992,24.52906608581543,28.56061363220215,0.9307627548845115,85.75140380859375,59.54179382324219,41.863445,14.719507,13.599257,48.3563117980957,11.689692,11.110389,9.609093,64,0,1,0
GPT-2,21,2,local,0.875,,0.95649,-0.35077,100.6963,0.6829,0.0138,0.7833,0.684,1.6723,1.1734,29.9666,25.48727798461914,24.90128517150879,29.906301498413086,29.260103225708008,1.1733815402515533,110.26610565185547,63.10281753540039,21.595669,17.78329,17.42796,52.05735397338867,6.9188385,6.418693,5.848889,64,0,1,0
GPT-2,21,3,sink,0.875,,0.56452,-0.06944,115.4244,0.8848,0.0022,0.8363,0.8848,0.6721,1.2129,29.9666,25.67013931274414,25.358489990234375,31.134607315063477,35.628047943115234,1.212872549530935,142.84759521484375,59.491477966308594,58.42987,44.31799,38.71791,52.6901969909668,10.931084,7.790735,6.8438144,64,0,1,0
GPT-2,21,4,local,0.875,,1.1555,-0.43472,98.9158,0.6819,0.009,0.7687,0.6819,1.7177,1.2326,29.9666,25.79073143005371,25.320741653442383,31.789520263671875,31.33095932006836,1.2325947540451139,123.34695434570312,62.666015625,32.664204,20.310217,20.063242,52.40795135498047,7.191294,6.6866612,6.4129305,64,0,1,0
GPT-2,21,5,local,0.875,,0.89266,-0.29638,99.0248,0.6684,0.0078,0.7884,0.6749,1.637,1.2029,29.9666,24.99135398864746,24.555822372436523,30.061546325683594,29.937030792236328,1.202877856851538,113.2769546508789,62.63811492919922,33.75218,17.90091,17.201727,53.400386810302734,5.7518344,5.612548,5.3339114,64,0,1,0
GPT-2,21,6,local,0.875,,1.21661,-0.43682,55.0051,0.3238,0.0126,0.4802,0.426,1.7789,0.8558,29.9666,27.91617774963379,27.314376831054688,23.89150619506836,24.448955535888672,0.8558301358208296,70.22908782958984,62.679134368896484,20.502975,11.123831,10.989534,50.531105041503906,14.169146,11.598495,10.529919,64,0,1,0
GPT-2,21,7,local,0.875,,1.41785,-0.36286,73.9682,0.4399,0.0144,0.638,0.4658,2.0232,1.2568,29.9666,26.160425186157227,25.47314453125,32.87809371948242,33.843448638916016,1.2567874369594954,139.25242614746094,62.865047454833984,30.331892,21.94184,21.692081,50.557743072509766,12.85833,10.401909,9.390665,64,0,1,0
GPT-2,21,8,local,0.875,,0.68939,-0.3822,78.8637,0.4562,0.0093,0.6488,0.4738,1.9337,1.1659,29.9666,26.334630966186523,25.882774353027344,30.703189849853516,30.701324462890625,1.1658864667317734,118.44278717041016,62.87736511230469,28.73073,22.05301,19.983177,51.61534881591797,7.9447722,6.6670065,6.013721,64,0,1,0
GPT-2,21,9,local,0.875,,0.85892,-0.32554,88.9642,0.4964,0.0114,0.7487,0.5242,2.1113,1.1992,29.9666,24.467662811279297,23.8424015045166,29.340654373168945,28.307987213134766,1.1991604837566283,103.4628677368164,63.09333801269531,20.968952,16.735476,16.304829,51.565067291259766,6.7896338,6.387465,6.0235157,64,0,1,0
GPT-2,21,10,local,0.875,,0.99093,-0.37114,81.0684,0.3557,0.0183,0.683,0.4312,2.3903,1.178,29.9666,24.94485092163086,24.324079513549805,29.384302139282227,28.97096061706543,1.1779706453888057,103.07402038574219,62.56581497192383,30.475126,16.042223,15.659582,51.47247314453125,7.72256,7.1193533,6.869037,64,0,1,0
GPT-2,21,11,local,0.875,,0.8794,-0.43266,97.4407,0.6362,0.0066,0.786,0.6384,1.8401,1.1345,29.9666,25.22116470336914,24.694683074951172,28.612741470336914,28.474363327026367,1.1344734395439549,101.74784088134766,62.1684455871582,26.672829,21.337154,18.355303,52.997947692871094,6.2959924,5.9268813,5.643342,64,0,1,0
GPT-2,21,12,local,0.875,,1.00718,-0.05848,87.3402,0.4841,0.0202,0.7213,0.5112,2.1129,1.3023,29.9666,25.421104431152344,24.63193702697754,33.10618209838867,32.25294494628906,1.3023109278374756,135.16641235351562,62.229984283447266,27.59725,23.98567,23.203358,49.09151840209961,9.545629,7.7508183,7.2237573,64,0,1,0
GPT-2,21,13,local,0.875,,0.65214,-0.30927,90.7245,0.5396,0.0089,0.7627,0.6082,1.7783,1.1767,29.9666,25.971237182617188,25.506134033203125,30.55961036682129,30.48990821838379,1.1766713365227734,115.13238525390625,62.74375534057617,32.508846,17.569567,17.40922,52.39916229248047,7.8080325,6.749772,6.484689,64,0,1,0
GPT-2,21,14,local,0.875,,1.00739,0.03709,63.5339,0.2951,0.0469,0.5322,0.3044,2.9362,1.1748,29.9666,26.051700592041016,25.50521469116211,30.604236602783203,31.050212860107422,1.1747500511399185,117.32830047607422,62.23066329956055,37.371964,18.891485,18.310509,47.42277908325195,13.229313,9.811079,8.842286,64,0,1,0
GPT-2,21,15,local,0.875,0.01796135820040945,0.53064,-0.28409,90.059,0.4832,0.0142,0.7408,0.5023,2.0017,1.4212,29.9666,26.056655883789062,25.427492141723633,37.03068161010742,36.730995178222656,1.4211601740169713,169.46792602539062,63.243675231933594,35.678104,26.276073,25.732395,51.04955291748047,7.2296557,6.830239,6.4488707,64,0,1,0
GPT-2,22,0,local,0.9166666666666666,,0.98289,-0.14058,101.5292,0.6994,0.0142,0.7917,0.6994,1.7632,1.3918,41.8245,24.965837478637695,24.595821380615234,34.74724578857422,34.88240051269531,1.3917917161122557,154.53152465820312,62.48912811279297,44.13355,32.670025,26.691936,55.01325225830078,6.257746,6.1402283,5.8253193,64,0,1,0
GPT-2,22,1,local,0.9166666666666666,,0.99706,-0.37632,81.5713,0.3875,0.0181,0.6882,0.4036,2.7608,1.3596,41.8245,24.51498031616211,23.86722183227539,33.330909729003906,33.03215026855469,1.3596139706882946,136.4827423095703,63.109046936035156,28.443794,21.822979,21.148975,50.0791015625,7.8175898,7.343977,7.014857,64,0,1,0
GPT-2,22,2,local,0.9166666666666666,,1.60699,0.06011,81.4962,0.3175,0.0154,0.692,0.3214,3.008,0.9854,41.8245,23.652631759643555,23.02039337158203,23.306947708129883,31.491012573242188,0.9853849645558485,104.6529541015625,52.86331558227539,61.571014,41.728397,28.47982,47.57838821411133,23.985535,6.9647765,6.248329,64,0,1,0
GPT-2,22,3,local,0.9166666666666666,,1.24432,-0.10681,76.1886,0.2711,0.0185,0.6648,0.3587,2.6445,1.2934,41.8245,24.97398567199707,24.230310440063477,32.300960540771484,31.268964767456055,1.2933842825492106,125.69794464111328,62.950714111328125,25.91713,20.68566,20.245007,49.36143493652344,8.830735,7.8081975,7.2270384,64,0,1,0
GPT-2,22,4,local,0.9166666666666666,0.05750657918785388,0.81833,-0.232,82.9868,0.4187,0.0209,0.7038,0.4344,2.6213,1.3646,41.8245,24.677751541137695,24.058929443359375,33.67424392700195,33.54478454589844,1.3645588363618049,141.2790985107422,63.072998046875,28.510584,22.635336,21.783476,49.62353515625,7.622759,6.541581,6.360411,64,0,1,0
GPT-2,22,5,local,0.9166666666666666,,1.13541,-0.32821,70.8405,0.2227,0.0202,0.6419,0.2749,3.0394,1.4963,41.8245,24.435823440551758,23.58436393737793,36.562110900878906,36.0699577331543,1.4962504124253013,165.55247497558594,63.308937072753906,28.24855,26.854298,25.446129,47.51607894897461,7.360217,6.8484225,5.985787,64,0,1,0
GPT-2,22,6,local,0.9166666666666666,,1.17786,-0.25401,66.7886,0.1787,0.0194,0.6056,0.2506,2.8165,1.2782,41.8245,24.83664894104004,24.23737144470215,31.745683670043945,30.933462142944336,1.2781790226774978,121.45731353759766,62.90804672241211,26.802921,20.57672,19.866785,49.44083023071289,6.9251614,6.7231083,6.4194064,64,0,1,0
GPT-2,22,7,local,0.9166666666666666,,1.5524,-0.39393,70.2055,0.2899,0.0142,0.6164,0.3161,2.6728,1.2607,41.8245,25.421947479248047,25.00679588317871,32.048606872558594,33.7994384765625,1.2606668666402774,134.72561645507812,62.51251983642578,36.395542,24.884047,22.39188,51.125667572021484,7.743139,6.8614874,6.5501313,64,0,1,0
GPT-2,22,8,local,0.9166666666666666,,1.28583,-0.23085,74.0461,0.2264,0.0234,0.6597,0.2509,3.2161,1.318,41.8245,24.6335506439209,24.14043617248535,32.4681396484375,36.16875076293945,1.318045462376278,138.2419891357422,59.63627624511719,71.32015,21.361864,20.044016,50.393402099609375,8.615408,7.022436,6.5821996,64,0,1,0
GPT-2,22,9,local,0.9166666666666666,,1.11413,-0.46102,56.793,0.167,0.0131,0.5318,0.2865,2.5477,1.1813,41.8245,25.819536209106445,25.2902889251709,30.499446868896484,31.737003326416016,1.1812546368721477,118.47378540039062,62.13211441040039,34.567657,22.382456,19.676636,51.9150276184082,7.9988265,6.6712775,6.5897603,64,0,1,0
GPT-2,22,10,local,0.9166666666666666,,0.94225,-0.03337,65.8054,0.2538,0.0148,0.5862,0.3051,2.6218,1.2327,41.8245,25.719486236572266,25.026691436767578,31.70346450805664,31.157217025756836,1.232663211715875,122.9946060180664,62.66715621948242,27.411516,21.152433,20.726534,49.93269729614258,8.210702,7.969371,7.6888895,64,0,1,0
GPT-2,22,11,local,0.9166666666666666,,1.15202,0.16627,64.2425,0.2789,0.0188,0.5753,0.3082,2.6369,1.2124,41.8245,26.11960220336914,25.64330291748047,31.666671752929688,33.26066207885742,1.2123719000913356,132.04981994628906,61.69461441040039,46.114483,24.477232,22.000515,50.76713562011719,7.8867054,7.065971,6.066116,64,0,1,0
GPT-2,22,12,local,0.9166666666666666,,1.09118,-0.28413,81.1717,0.3142,0.0243,0.6804,0.4371,2.3783,1.3135,41.8245,24.81646156311035,24.064725875854492,32.596309661865234,31.646438598632812,1.3134954626375224,129.36648559570312,63.04148864746094,24.713083,21.1087,20.78042,49.459564208984375,8.653617,7.252656,6.2666554,64,0,1,0
GPT-2,22,13,local,0.9166666666666666,,1.66342,-0.27603,72.7677,0.2639,0.0172,0.6384,0.3049,3.0882,1.1916,41.8245,23.967731475830078,23.699556350708008,28.559337615966797,36.86142349243164,1.1915744986030852,158.0653533935547,50.37663650512695,127.11593,23.617476,20.598482,49.98722457885742,9.572585,5.9394364,5.3376465,64,0,1,0
