model,layer,head,label,rel_depth,locality_score,match_entropy,delta_collapse,mean_distance,bos_mass,local_mass,long_range_mass,mean_max_attn,mean_entropy_ss,vq_ratio_atlas,mean_output_norm,wq_norm,wk_norm,wv_norm,wo_norm,vq_ratio_weight,ov_norm,ov_eff_rank,ov_sv1,ov_sv2,ov_sv3,qk_eff_rank,qk_sv1,qk_sv2,qk_sv3,head_dim,is_gqa,gqa_group_size,gqa_within_group_rank
GPT-2,1,1,local,0.041666666666666664,,2.37494,-0.06079,34.7624,0.0802,0.1294,0.316,0.0982,4.0585,0.7335,4.4208,26.754148483276367,26.6201171875,19.62502098083496,19.31758689880371,0.7335318854607369,59.294193267822266,50.05630111694336,32.323944,25.218674,12.870042,54.11855697631836,22.779844,18.012745,13.563724,64,0,1,0
GPT-2,1,2,local,0.041666666666666664,,2.33815,-0.04868,50.2114,0.1019,0.0514,0.5166,0.1309,3.9258,0.5476,4.4208,39.8960075378418,39.37110900878906,21.846654891967773,21.40888786315918,0.5475900031161122,61.41633605957031,60.170501708984375,21.733107,14.053338,12.52518,50.16303253173828,23.721926,21.002167,17.696873,64,0,1,0
GPT-2,1,3,local,0.041666666666666664,,2.28973,-0.08017,88.7155,0.2622,0.0217,0.7528,0.2622,3.6905,1.0459,4.4208,15.878859519958496,18.90549659729004,16.607120513916016,25.689882278442383,1.0458635579615214,109.05542755126953,24.20821189880371,95.59716,35.296185,28.507818,19.1994686126709,26.73676,18.64043,11.081616,64,0,1,0
GPT-2,1,4,local,0.041666666666666664,,1.9532,-0.01632,54.379,0.0208,0.0211,0.5865,0.1569,3.3235,0.6195,4.4208,31.086307525634766,30.480060577392578,19.258333206176758,20.804332733154297,0.6195117638302684,58.088382720947266,53.3858528137207,35.735516,14.565846,12.027812,57.58855056762695,35.755905,28.153648,24.23386,64,0,1,0
GPT-2,1,5,local,0.041666666666666664,,2.59127,-0.07292,88.2228,0.0365,0.054,0.6956,0.0649,4.0205,1.1625,4.4208,15.604055404663086,16.11867332458496,18.139585494995117,20.16001319885254,1.162491738498516,74.23388671875,38.83247756958008,46.06646,40.9683,26.72007,25.210054397583008,18.351313,16.63239,15.2083,64,0,1,0
GPT-2,1,6,local,0.041666666666666664,,2.66995,-0.08095,80.2209,0.0416,0.0388,0.6818,0.0491,4.3931,0.82,4.4208,18.983070373535156,24.25743865966797,15.565881729125977,31.97665786743164,0.8199875690723878,110.74327087402344,21.07029914855957,95.63702,37.47583,27.645966,12.273016929626465,59.49567,23.49322,18.961924,64,0,1,0
GPT-2,1,7,local,0.041666666666666664,,2.48066,-0.06915,13.9696,0.0049,0.2362,0.0863,0.1262,3.4437,0.7131,4.4208,28.562299728393555,28.308120727539062,20.36737060546875,20.17632293701172,0.713085808886075,57.837032318115234,54.225250244140625,18.201384,17.218988,15.9300375,31.99439239501953,51.992645,46.916462,28.02983,64,0,1,0
GPT-2,1,8,local,0.041666666666666664,,1.97957,-0.07888,51.7322,0.1735,0.0836,0.4841,0.1823,3.9443,1.0862,4.4208,15.516928672790527,15.933387756347656,16.854761123657227,18.886566162109375,1.086217606530057,60.2868766784668,40.72345733642578,36.731182,30.50729,21.81445,21.786800384521484,22.645065,17.322348,16.911966,64,0,1,0
GPT-2,1,9,local,0.041666666666666664,,2.52582,-0.04589,61.7678,0.0359,0.0491,0.6063,0.0725,4.2052,0.8011,4.4208,35.560768127441406,35.607078552246094,28.4885311126709,27.19829559326172,0.8011224901153405,106.515625,57.150115966796875,24.934816,24.635645,23.286251,47.95669174194336,34.23385,29.07096,24.183048,64,0,1,0
GPT-2,1,10,local,0.041666666666666664,,1.33401,-0.17959,71.2772,0.0874,0.0555,0.6016,0.0961,4.3544,1.1185,4.4208,15.424820899963379,17.398841857910156,17.25238800048828,23.180965423583984,1.1184822250045134,101.41401672363281,26.060379028320312,69.57165,57.98973,34.96476,20.337547302246094,24.968578,14.541145,11.312492,64,0,1,0
GPT-2,1,11,local,0.041666666666666664,,2.32593,-0.00049,47.228,0.0309,0.034,0.4907,0.1669,3.5068,0.5596,4.4208,38.69670104980469,38.92495346069336,21.656328201293945,20.927888870239258,0.5596427502546161,63.55104446411133,56.57997131347656,25.690992,19.558098,14.363767,49.90800857543945,24.55693,21.391268,17.347025,64,0,1,0
GPT-2,1,12,local,0.041666666666666664,,2.52072,-0.08949,56.4322,0.0327,0.0578,0.5734,0.0567,4.385,0.5386,4.4208,38.53280258178711,40.17327880859375,20.753904342651367,20.317411422729492,0.5386035520930511,54.872928619384766,60.28124237060547,17.138544,13.643592,12.044665,47.992393493652344,30.277548,21.053314,16.587496,64,0,1,0
GPT-2,1,13,local,0.041666666666666664,,2.51533,-0.03707,55.9199,0.038,0.0558,0.5725,0.0479,4.4285,0.7133,4.4208,32.96874237060547,32.795143127441406,23.51789093017578,21.425357818603516,0.7133390368916023,73.34577178955078,53.90340042114258,29.182371,20.185568,19.67579,55.2380485534668,20.446825,16.767097,16.04646,64,0,1,0
GPT-2,1,14,local,0.041666666666666664,,2.41658,-0.01281,18.957,0.0251,0.2457,0.1206,0.1489,3.3699,0.6904,4.4208,33.58955001831055,33.61130905151367,23.188676834106445,22.318883895874023,0.6903538993962407,67.46395111083984,59.94672393798828,16.967134,14.295616,13.386888,39.09844970703125,55.483093,51.402374,30.197313,64,0,1,0
